radius3, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
0, 5.0, 24, regularization, -0.055722611102, 0.00239410729823, 23.2749013143, 0.0302635484949, 0.00582427944386, 5.1961017301
0, 5.0, 25, regularization, -0.0570416903755, 0.00255895007188, 22.2910524915, 0.0301818800601, 0.00563579703701, 5.35538804216
0, 11.0, 6, no_regularization, 0.021521425777, 0.577407170671, 0.0372725294561, -0.0138574677302, 0.690918342973, 0.0200565926077
0, 11.0, 7, no_regularization, 0.00474529447703, 0.478022172885, 0.00992693382484, 0.00381753945742, 0.576647110455, 0.00662023512856
0, 11.0, 8, no_regularization, -0.0570219200571, 0.522671734936, 0.109097003426, -0.0636500467202, 0.731686150058, 0.0869909136796
0, 11.0, 9, no_regularization, 0.0225546294751, 0.561292734919, 0.0401833625699, 0.032367534352, 0.703439204536, 0.0460132647474
0, 11.0, 10, no_regularization, -0.0714883869321, 0.690394027297, 0.103547226809, 0.0748031277589, 0.514437746015, 0.14540754122
0, 11.0, 6, regularization, 0.0210332284171, 0.51173379613, 0.0411018943368, -0.00448870390067, 0.656548152315, 0.00683682359754
0, 11.0, 7, regularization, 0.0106286641289, 0.35762799157, 0.0297198887656, -0.00254775844787, 0.511904732496, 0.00497701678874
0, 11.0, 8, regularization, -0.0593500944824, 0.417291000448, 0.142227113498, -0.0675472094876, 0.671671610761, 0.100565824735
0, 11.0, 9, regularization, 0.0230692403936, 0.471816200179, 0.0488945491588, 0.0328907229602, 0.624826457513, 0.0526397731157
0, 11.0, 10, regularization, -0.0827474399256, 0.667770684616, 0.123915951736, 0.0556043528616, 0.468996911476, 0.118560168524
0, 9.0, 16, no_regularization, -0.00961219574642, 0.357679789553, 0.0268737458117, 0.0119326847543, 0.377700832937, 0.0315929532416
0, 9.0, 17, no_regularization, -0.0480837759536, 0.450718856085, 0.106682414779, 0.0220805048325, 0.876658064611, 0.0251871347836
0, 9.0, 18, no_regularization, -0.0177985020583, 0.529803597399, 0.0335945285115, 0.0521387194696, 0.434377554076, 0.120030878622
0, 9.0, 19, no_regularization, 0.00648962624909, 0.542259696536, 0.01196774588, 0.016644452803, 0.686457387913, 0.0242468842147
0, 9.0, 20, no_regularization, 0.0115645146249, 0.811775660727, 0.0142459489541, 0.0613640157684, 0.679578222859, 0.0902972074506
0, 9.0, 16, regularization, -0.00896243162094, 0.258236854362, 0.0347062453309, 0.00985479016509, 0.325955894286, 0.0302335080845
0, 9.0, 17, regularization, -0.0494333749362, 0.376225289809, 0.131393014439, 0.0225298212377, 0.861654530759, 0.0261471627357
0, 9.0, 18, regularization, -0.0103471846545, 0.488278355684, 0.0211911597842, 0.0607462397332, 0.351124886449, 0.17300465469
0, 9.0, 19, regularization, 0.00615035934608, 0.457171058749, 0.0134530811354, 0.026896454568, 0.655171240164, 0.0410525568266
0, 9.0, 20, regularization, 0.0156028074426, 0.756137511839, 0.0206348808229, 0.0569898026695, 0.654074965893, 0.0871303835819
0, 7.0, 26, no_regularization, -0.0455056155449, 0.252105186623, 0.180502496416, 0.0452775545788, 0.271371589821, 0.166847069764
0, 7.0, 27, no_regularization, 0.00400764841122, 0.317838512842, 0.0126090711141, -0.00508131449522, 0.37219165269, 0.0136524139069
0, 7.0, 28, no_regularization, -0.0444801516349, 0.417868570437, 0.106445315062, -0.17183422757, 0.829360591241, 0.207188802295
0, 7.0, 29, no_regularization, -0.0397040331817, 0.332795911499, 0.119304449994, 0.0131892342149, 0.363036049918, 0.0363303705455
0, 7.0, 30, no_regularization, -0.0100907258075, 0.547238457406, 0.0184393579635, 0.0537421763441, 0.68280051552, 0.0787084589459
0, 7.0, 26, regularization, -0.0431420278298, 0.164853712315, 0.261698855451, 0.0475888897239, 0.254111242427, 0.18727581381
0, 7.0, 27, regularization, 0.000361675542945, 0.216628063553, 0.00166956920083, -0.00147465868715, 0.367961671909, 0.00400764209896
0, 7.0, 28, regularization, -0.0413106693363, 0.307110752249, 0.134513914065, -0.179484395576, 0.798666665397, 0.224730044902
0, 7.0, 29, regularization, -0.0363748248355, 0.266612583373, 0.136433263484, 0.0162781326509, 0.353319410536, 0.0460720021755
0, 7.0, 30, regularization, -0.0104230222169, 0.460016066541, 0.0226579525695, 0.0580291133471, 0.612741259335, 0.0947041062815
0, 0.5, 11, no_regularization, -0.00581071414015, 0.000957103218356, 6.0711467987, 0.00344455461961, 0.00673865086052, 0.511163835448
0, 0.5, 12, no_regularization, -0.00576137469532, 0.000841077192146, 6.84999515992, 0.00270264400746, 0.00730674005926, 0.369883694444
0, 0.5, 13, no_regularization, -0.00604214024474, 0.00103535377939, 5.83582188527, 0.0033847740769, 0.00815810722287, 0.414896983385
0, 0.5, 14, no_regularization, -0.00602083303254, 0.000925577668681, 6.5049463014, 0.00285333242367, 0.00641853291792, 0.444545889249
0, 0.5, 15, no_regularization, -0.00560241913503, 0.000801050164779, 6.99384305922, 0.00261287086647, 0.00607327457234, 0.430224393009
0, 0.5, 11, regularization, -0.00580734611, 0.00107143249486, 5.42016985471, 0.00296992347637, 0.00225085244138, 1.31946609283
